pet,anio,tasa_nat,tasa_mig,tasa_rec,brecha_nat_mig,brecha_nat_rec
0,2016,46.07411631577,52.78209637462437,58.625294579732916,-6.707980058854375,-12.551178263962917
0,2017,46.076637680942675,55.16802728696041,60.74492788867898,-9.091389606017735,-14.668290207736305
0,2018,46.75589891668539,55.705669228046816,59.362094054117705,-8.949770311361426,-12.606195137432316
0,2019,47.4430920718058,55.84373410351267,64.0498067883923,-8.400642031706873,-16.606714716586502
0,2020,43.33590554572553,51.85172395963465,56.400988803977505,-8.515818413909116,-13.065083258251974
0,2021,46.69070450999787,56.621801477356165,59.96404530784224,-9.931096967358293,-13.27334079784437
0,2022,47.45799439881161,57.99201763968744,60.56530548079736,-10.534023240875833,-13.107311081985756
0,2023,48.118387114307595,58.70862631192949,48.58441807636839,-10.590239197621898,-0.46603096206079186
0,2024,48.367073362713576,60.18780583116907,54.089486125604274,-11.820732468455496,-5.7224127628906984
10,2016,53.519717276520076,53.70629352332386,65.28394975331537,-0.1865762468037815,-11.764232476795293
10,2017,53.713119609796074,56.30186148282159,67.25088404193494,-2.588741873025519,-13.537764432138864
10,2018,54.35472792342112,56.885395414999856,62.786352920243765,-2.5306674915787326,-8.431624996822642
10,2019,54.95254586396642,57.310873300744845,68.47692447726683,-2.358327436778424,-13.524378613300414
10,2020,50.63259192535828,52.80148238562462,61.411989166030416,-2.16889046026634,-10.77939724067214
10,2021,54.24851291941824,58.19319923286244,67.38905455703943,-3.944686313444201,-13.14054163762119
10,2022,55.20376008547457,58.89258611896906,62.921480098875044,-3.688826033494486,-7.7177200134004735
10,2023,55.92363246652843,59.89949305171908,51.89595354703066,-3.9758605851906452,4.027678919497774
10,2024,55.928601008728236,61.49638320536603,58.795832243398465,-5.567782196637793,-2.8672312346702284
15,2016,58.93375592726779,55.03803375893675,68.0847828731298,3.895722168331041,-9.151026945862007
15,2017,58.98779704764107,57.80462949426278,71.62379533660638,1.18316755337829,-12.635998288965311
15,2018,59.81387398671016,58.33147583739611,67.74736066074195,1.4823981493140508,-7.9334866740317835
15,2019,60.540505479131085,58.78222130313984,72.50912027223832,1.7582841759912426,-11.968614793107236
15,2020,56.3203985470297,53.86759010408232,64.5777167522299,2.4528084429473793,-8.257318205200207
15,2021,60.71664212725248,59.34955652791311,71.79633131578892,1.3670855993393687,-11.079689188536442
15,2022,61.69782473344988,60.96697627239713,68.7806565992164,0.7308484610527444,-7.082831865766522
15,2023,62.50540973302961,61.83218181656288,56.64639349911504,0.673227916466729,5.859016233914566
15,2024,62.57756770727629,63.515132200397595,63.469549419875904,-0.9375644931213074,-0.8919817125996161
