anio,actual,pet_10
2016,-14.751533240560157,-13.006205938291558
2017,-16.131046766585435,-14.179823124463248
2018,-12.920393731343971,-9.2941208150826
2019,-17.33682288888304,-14.156746933307993
2020,-14.279854397090112,-12.003281747251215
2021,-9.010630263393487,-8.31675398197661
2022,-12.716864705447783,-7.28805751865135
2023,-1.2805399875196173,2.6299610236368736
2024,-6.903641882632279,-4.46676876456106
